MPN	SE_NAME	COM_PARTNUM	SE_SUPPLIER	MAN_ID	COM_ID	Scrubbing_Status
N25Q032A13EF640F	Alliance Memory	N25Q032A13EF640F	Micron Technology	1416	43158795	Need Scrubbing
N25Q032A13ESC40G	Alliance Memory	N25Q032A13ESC40G	Micron Technology	1416	43158799	Need Scrubbing
N25Q032A13ESFA0F	Alliance Memory	N25Q032A13ESFA0F	Micron Technology	1416	51550405	Need Scrubbing
N25Q064A13EF640E	Alliance Memory	N25Q064A13EF640E	Micron Technology	1416	43710722	Need Scrubbing
M29F160FT55N3E2	Alliance Memory	M29F160FT55N3E2	Micron Technology	1416	41519521	Need Scrubbing
M29F400FB55N3E2	Alliance Memory	M29F400FB55N3E2	Micron Technology	1416	40371266	Need Scrubbing
M29F400FT5AN6E2	Alliance Memory	M29F400FT5AN6E2	Micron Technology	1416	41519559	Need Scrubbing
M25P80-VMN3TPB	Alliance Memory	M25P80-VMN3TPB	Micron Technology	1416	43318589	Need Scrubbing
M29W640GH70ZA6E	Alliance Memory	M29W640GH70ZA6E	Micron Technology	1416	34507780	Need Scrubbing
M29W640GH70ZA6E	Alliance Memory	M29W640GH70ZA6E	STMicroelectronics	1579	25595216	Need Scrubbing
M29W640GT7AN6E	Alliance Memory	M29W640GT7AN6E	Micron Technology	1416	56714905	Need Scrubbing
M29F800FB5AN6F2	Alliance Memory	M29F800FB5AN6F2	Micron Technology	1416	40371247	Need Scrubbing
PF48F4000P0ZBQEF	Alliance Memory	PF48F4000P0ZBQEF	Micron Technology	1416	42736430	Need Scrubbing
PC28F640P33TF60A	Alliance Memory	PC28F640P33TF60A	Micron Technology	1416	46311611	Need Scrubbing
PC48F4400P0TB0EE	Alliance Memory	PC48F4400P0TB0EE	Micron Technology	1416	46308192	Need Scrubbing
PC28F128P33BF60A	Alliance Memory	PC28F128P33BF60A	Micron Technology	1416	48708125	Need Scrubbing
PC28F640J3F75A	Alliance Memory	PC28F640J3F75A	Micron Technology	1416	42929723	Need Scrubbing
PC28F640P30BF65B	Alliance Memory	PC28F640P30BF65B	Micron Technology	1416	51944241	Need Scrubbing
M58BW016FB7T3F	Alliance Memory	M58BW016FB7T3F	Micron Technology	1416	38090584	Need Scrubbing
M29W064FB70N3E	Alliance Memory	M29W064FB70N3E	Micron Technology	1416	38219080	Need Scrubbing
SST59U	Belden	SST59U	"ABB Installation Products, Inc"	3165	79958426	Direct Match Corrected supplier
SST59U	Belden	SST59U	ABB Installation Products, Inc	3165	79958426	Direct Match Corrected supplier
311P409-2P-B-12	C&K	311P409-2P-B-12	TE Connectivity	1629	25591968	Need Scrubbing
311P409-2P-B-12	C&K	311P409-2P-B-12	ITT Inc	1351	62354697	Direct Match Corrected supplier
CXM50	Chemtronics	CXM50	Illinois Tool Works	2705	20330122	Direct Match Corrected supplier
8200-W	Corning Incorporated	8200-W	3M	1003	26139916	Direct Match Corrected supplier
Q-B-5AS	Desco Industries	Q-B-5AS	EasyBraid	4038	415395459	Direct Match Corrected supplier
OS-D-5AS	Desco Industries	OS-D-5AS	EasyBraid	4038	415394189	Direct Match Corrected supplier
MS621T	ABLIC Inc	MS621T	Seiko Instruments Inc	55324	405508518	Direct Match Corrected supplier
VT200F-12.5PF20PPM	ABLIC Inc	VT200F-12.5PF20PPM	Seiko Instruments Inc	55324	408501644	Direct Match Corrected supplier
M29W320EB70ZE6E	Alliance Memory	M29W320EB70ZE6E	STMicroelectronics	1579	19103904	Need Scrubbing
M29W320EB70ZE6E	Alliance Memory	M29W320EB70ZE6E	Micron Technology	1416	33538249	Need Scrubbing
PC28F640P30TF65B	Alliance Memory	PC28F640P30TF65B	Micron Technology	1416	53064097	Need Scrubbing
PC28F128P30BF65A	Alliance Memory	PC28F128P30BF65A	Micron Technology	1416	46308314	Need Scrubbing
PC28F320J3F75B	Alliance Memory	PC28F320J3F75B	Micron Technology	1416	46308238	Need Scrubbing
PC28F512P30TFB	Alliance Memory	PC28F512P30TFB	Micron Technology	1416	46311648	Need Scrubbing
MT41K1G8SN-107 IT:A	Alliance Memory	MT41K1G8SN-107 IT:A	Micron Technology	1416	73148372	Need Scrubbing
MT48LC16M16A2P-7E IT:G	Alliance Memory	MT48LC16M16A2P-7E IT:G	Micron Technology	1416	47427764	Need Scrubbing
M58BW32FB4ZA3T	Alliance Memory	M58BW32FB4ZA3T	STMicroelectronics	1579	21628490	Need Scrubbing
M58BW32FB4ZA3T	Alliance Memory	M58BW32FB4ZA3T	Micron Technology	1416	36343347	Need Scrubbing
Y16071R50000D9W	Alpha Electronics	Y16071R50000D9W	Vishay Precision Group	23561	43251184	Direct Match Corrected supplier
Y16071R50000D9W	Alpha Electronics	Y16071R50000D9W	Vishay	1645	31107998	Need Scrubbing
MP402R0L	Alpha Electronics	MP402R0L	Vishay Precision Group	23561	416249359	Direct Match Corrected supplier
MP3K010L	Alpha Electronics	MP3K010L	Vishay Precision Group	23561	416249370	Direct Match Corrected supplier
MP2K940L	Alpha Electronics	MP2K940L	Vishay Precision Group	23561	416249366	Direct Match Corrected supplier
TSM23Q-2RG	Applied Motion Products	TSM23Q-2RG	MOONS INDUSTRIES	42082	419350912	Direct Match Corrected supplier
UCT-LH	Belden	UCT-LH	"ABB Installation Products, Inc"	3165	37942108	Direct Match Corrected supplier
UCT-LH	Belden	UCT-LH	ABB Installation Products, Inc	3165	37942108	Direct Match Corrected supplier
DT-04-18-0-C	Belden	DT-04-18-0-C	"PPC Broadband, Inc"	40808	1846531599	Direct Match Corrected supplier
311P407-2P-B-12	C&K	311P407-2P-B-12	TE Connectivity	1629	48720181	Need Scrubbing
311P407-2P-B-12	C&K	311P407-2P-B-12	ITT Inc	1351	406270074	Direct Match Corrected supplier
311P407-1S-B-12	C&K	311P407-1S-B-12	ITT Inc	1351	405518121	Direct Match Corrected supplier
311P407-1S-B-12	C&K	311P407-1S-B-12	TE Connectivity	1629	25593282	Need Scrubbing
430P684X9400	Cornell Dubilier Electronics	430P684X9400	Vishay	1645	26335619	Direct Match Corrected supplier
S-B-10AS	Desco Industries	S-B-10AS	EasyBraid	4038	414020691	Direct Match Corrected supplier
LF-B-5AS	Desco Industries	LF-B-5AS	EasyBraid	4038	422646613	Direct Match Corrected supplier
GV1G10	Eaton	GV1G10	Schneider Electric	1545	37834678	Direct Match Corrected supplier
GSK-805	Global Specialties	GSK-805	Cal Test Electronics	7408	419777749	Direct Match Corrected supplier
GRDBARV14	Hammond Power Solutions	GRDBARV14	Hammond Manufacturing	2061	53428343	Direct Match Corrected supplier
MP1205MPFC	"Hitachi Metals, Ltd"	MP1205MPFC	METGLAS	11666	50122603	Direct Match Corrected supplier
MP3210P4AF	"Hitachi Metals, Ltd"	MP3210P4AF	METGLAS	11666	69170475	Direct Match Corrected supplier
MP7548MPFC	"Hitachi Metals, Ltd"	MP7548MPFC	METGLAS	11666	50122630	Direct Match Corrected supplier
MP7050MPFC	"Hitachi Metals, Ltd"	MP7050MPFC	METGLAS	11666	50122619	Direct Match Corrected supplier
MP2010MPFC	"Hitachi Metals, Ltd"	MP2010MPFC	METGLAS	11666	50122607	Direct Match Corrected supplier
MP1306MPFC	"Hitachi Metals, Ltd"	MP1306MPFC	METGLAS	11666	50122604	Direct Match Corrected supplier
FT-3KM F6045G	"Hitachi Metals, Ltd"	FT-3KM F6045G	METGLAS	11666	416738925	Direct Match Corrected supplier
CCM03-3001LFT R102	ITT Inc	CCM03-3001LFT R102	C&K	12108	101063751	Direct Match Corrected supplier
LF2190NTR	IXYS	LF2190NTR	Littelfuse	1388	1845755133	Direct Match Corrected supplier
W0944WC150	IXYS	W0944WC150	Littelfuse	1388	419822147	Direct Match Corrected supplier
S802CS1RP	IXYS	S802CS1RP	Littelfuse	1388	1845344474	Direct Match Corrected supplier
IX4351NETR	IXYS	IX4351NETR	Littelfuse	1388	415536461	Direct Match Corrected supplier
B-01-RTS	KEMET Corporation	B-01-RTS	TOKIN Corporation	2263	27091478	Direct Match Corrected supplier
B-03-R	KEMET Corporation	B-03-R	TOKIN Corporation	2263	27091481	Direct Match Corrected supplier
RG-208F	KEMET Corporation	RG-208F	TOKIN Corporation	2263	42242963	Direct Match Corrected supplier
VU-215F	KEMET Corporation	VU-215F	TOKIN Corporation	2263	42242967	Direct Match Corrected supplier
VU-220F	KEMET Corporation	VU-220F	TOKIN Corporation	2263	42242568	Direct Match Corrected supplier
SU16VD-30050	KEMET Corporation	SU16VD-30050	TOKIN Corporation	2263	42049763	Direct Match Corrected supplier
SNG-19A-080	KEMET Corporation	SNG-19A-080	TOKIN Corporation	2263	27114907	Direct Match Corrected supplier
SNG-19DB-014	KEMET Corporation	SNG-19DB-014	TOKIN Corporation	2263	27114910	Direct Match Corrected supplier
SNG-25DB-086	KEMET Corporation	SNG-25DB-086	TOKIN Corporation	2263	27114906	Direct Match Corrected supplier
GL-2030ET	KEMET Corporation	GL-2030ET	TOKIN Corporation	2263	48493524	Direct Match Corrected supplier
GL-2060H2	KEMET Corporation	GL-2060H2	TOKIN Corporation	2263	48126721	Direct Match Corrected supplier
GL-2080C4	KEMET Corporation	GL-2080C4	TOKIN Corporation	2263	41104007	Direct Match Corrected supplier
GF-210U	KEMET Corporation	GF-210U	TOKIN Corporation	2263	41261797	Direct Match Corrected supplier
GT-21001	KEMET Corporation	GT-21001	TOKIN Corporation	2263	35209797	Direct Match Corrected supplier
GT-2200	KEMET Corporation	GT-2200	TOKIN Corporation	2263	27094561	Direct Match Corrected supplier
LF-215N	KEMET Corporation	LF-215N	TOKIN Corporation	2263	42622225	Direct Match Corrected supplier
LF-305	KEMET Corporation	LF-305	TOKIN Corporation	2263	35209896	Direct Match Corrected supplier
MA-2043	KEMET Corporation	MA-2043	TOKIN Corporation	2263	51594540	Direct Match Corrected supplier
MPCH1040LR68	KEMET Corporation	MPCH1040LR68	TOKIN Corporation	2263	404126243	Direct Match Corrected supplier
SNT-S10	KEMET Corporation	SNT-S10	TOKIN Corporation	2263	32919098	Direct Match Corrected supplier
SBT-0208	KEMET Corporation	SBT-0208	TOKIN Corporation	2263	35195957	Direct Match Corrected supplier
SBT-0240	KEMET Corporation	SBT-0240	TOKIN Corporation	2263	35195958	Direct Match Corrected supplier
ST-101A	KEMET Corporation	ST-101A	TOKIN Corporation	2263	35192434	Direct Match Corrected supplier
ST-201A	KEMET Corporation	ST-201A	TOKIN Corporation	2263	35192443	Direct Match Corrected supplier
ST-202A	KEMET Corporation	ST-202A	TOKIN Corporation	2263	35192445	Direct Match Corrected supplier
ST-204A3	KEMET Corporation	ST-204A3	TOKIN Corporation	2263	35192448	Direct Match Corrected supplier
ST-110AH	KEMET Corporation	ST-110AH	TOKIN Corporation	2263	35192438	Direct Match Corrected supplier
ST-110BV	KEMET Corporation	ST-110BV	TOKIN Corporation	2263	35192441	Direct Match Corrected supplier
SNT-S20T	KEMET Corporation	SNT-S20T	TOKIN Corporation	2263	27114804	Direct Match Corrected supplier
B-6-31B	KEMET Corporation	B-6-31B	TOKIN Corporation	2263	35186408	Direct Match Corrected supplier
GL-2030C3	KEMET Corporation	GL-2030C3	TOKIN Corporation	2263	41104003	Direct Match Corrected supplier
GL-2060C3	KEMET Corporation	GL-2060C3	TOKIN Corporation	2263	41104004	Direct Match Corrected supplier
GT-2050R	KEMET Corporation	GT-2050R	TOKIN Corporation	2263	27094566	Direct Match Corrected supplier
LF-230N	KEMET Corporation	LF-230N	TOKIN Corporation	2263	42622227	Direct Match Corrected supplier
MA-2013	KEMET Corporation	MA-2013	TOKIN Corporation	2263	35209856	Direct Match Corrected supplier
GT-210J	KEMET Corporation	GT-210J	TOKIN Corporation	2263	35209810	Direct Match Corrected supplier
GL-2100M	KEMET Corporation	GL-2100M	TOKIN Corporation	2263	23883011	Direct Match Corrected supplier
SBT-0208T	KEMET Corporation	SBT-0208T	TOKIN Corporation	2263	26259923	Direct Match Corrected supplier
SBT-0210T	KEMET Corporation	SBT-0210T	TOKIN Corporation	2263	26259927	Direct Match Corrected supplier
SBT-0240T	KEMET Corporation	SBT-0240T	TOKIN Corporation	2263	26259921	Direct Match Corrected supplier
SNT-D20T	KEMET Corporation	SNT-D20T	TOKIN Corporation	2263	27114798	Direct Match Corrected supplier
SNT-D30TF	KEMET Corporation	SNT-D30TF	TOKIN Corporation	2263	27114807	Direct Match Corrected supplier
SNT-S30T	KEMET Corporation	SNT-S30T	TOKIN Corporation	2263	27114802	Direct Match Corrected supplier
BM2P189TF-E2	Kionix	BM2P189TF-E2	ROHM Semiconductor	1534	405476689	Direct Match Corrected supplier
LZ4-00MD09-0000	"LED Engin, Inc"	LZ4-00MD09-0000	OSRAM	50677	421219475	Direct Match Corrected supplier
LZ4-V4UV0R-0000	"LED Engin, Inc"	LZ4-V4UV0R-0000	OSRAM	50677	424143476	Direct Match Corrected supplier
64151 H3 12V55W	LEDVANCE GmbH	64151 H3 12V55W	OSRAM	50677	45873816	Direct Match Corrected supplier
64111 12V5W	LEDVANCE GmbH	64111 12V5W	OSRAM	50677	45873813	Direct Match Corrected supplier
4008321329431	LEDVANCE GmbH	4008321329431	OSRAM	50677	62861136	Direct Match Corrected supplier
4008321873743	LEDVANCE GmbH	4008321873743	OSRAM	50677	75679648	Direct Match Corrected supplier
XBLNT	Legrand	XBLNT	Middle Atlantic Products	4132	417853816	Direct Match Corrected supplier
AV9012BK	Legrand	AV9012BK	Middle Atlantic Products	4132	414186181	Direct Match Corrected supplier
AV5002BK	Legrand	AV5002BK	Middle Atlantic Products	4132	417853716	Direct Match Corrected supplier
MUBW15-12A7	Littelfuse	MUBW15-12A7	IXYS	1353	16987764	Direct Match Corrected supplier
IXDI609SI	Littelfuse	IXDI609SI	IXYS	1353	42533905	Direct Match Corrected supplier
IXDF604SI	Littelfuse	IXDF604SI	IXYS	1353	42533899	Direct Match Corrected supplier
IXDN602SIA	Littelfuse	IXDN602SIA	IXYS	1353	43056696	Direct Match Corrected supplier
VUO52-20NO1	Littelfuse	VUO52-20NO1	IXYS	1353	32524580	Direct Match Corrected supplier
VUO34-16NO1	Littelfuse	VUO34-16NO1	IXYS	1353	18788750	Direct Match Corrected supplier
IXHX40N150V1HV	Littelfuse	IXHX40N150V1HV	IXYS	1353	56664496	Direct Match Corrected supplier
P51-200-G-B-I36-4.5V-000-000	SSI Controls Technologies	P51-200-G-B-I36-4.5V-000-000	Amphenol	1761	413912413	Direct Match Corrected supplier
P51-50-A-B-I36-4.5V-000-000	SSI Controls Technologies	P51-50-A-B-I36-4.5V-000-000	Amphenol	1761	413444633	Direct Match Corrected supplier
P51-100-G-G-P-4.5V-000-000	SSI Controls Technologies	P51-100-G-G-P-4.5V-000-000	Amphenol	1761	413912407	Direct Match Corrected supplier
P51-15-G-UB-I36-20MA-000-000	SSI Controls Technologies	P51-15-G-UB-I36-20MA-000-000	Amphenol	1761	413912410	Direct Match Corrected supplier
P51-10-G-UC-I36-5V-000-000	SSI Controls Technologies	P51-10-G-UC-I36-5V-000-000	Amphenol	1761	413912408	Direct Match Corrected supplier
P51-200-G-B-I36-5V-000-000	SSI Controls Technologies	P51-200-G-B-I36-5V-000-000	Amphenol	1761	413912415	Direct Match Corrected supplier
P51-200-G-A-I36-5V-000-000	SSI Controls Technologies	P51-200-G-A-I36-5V-000-000	Amphenol	1761	413912414	Direct Match Corrected supplier
P51-100-G-B-I36-5V-000-000	SSI Controls Technologies	P51-100-G-B-I36-5V-000-000	Amphenol	1761	413912405	Direct Match Corrected supplier
P51-50-A-A-P-20mA-000-000	SSI Controls Technologies	P51-50-A-A-P-20mA-000-000	Amphenol	1761	413444644	Direct Match Corrected supplier
SDSDQAF4-256G-I	SanDisk	SDSDQAF4-256G-I	Western Digital	3523	413891872	Direct Match Corrected supplier
SDINBDG4-64G-XI2	SanDisk	SDINBDG4-64G-XI2	Western Digital	3523	419774109	Direct Match Corrected supplier
SDSDAF4-064G-I	SanDisk	SDSDAF4-064G-I	Western Digital	3523	414203707	Direct Match Corrected supplier
SDSDAF4-512G-I	SanDisk	SDSDAF4-512G-I	Western Digital	3523	414203710	Direct Match Corrected supplier
SDBPNPZ-256G-XI	SanDisk	SDBPNPZ-256G-XI	Western Digital	3523	419884427	Direct Match Corrected supplier
SDBPNPZ-512G-XI	SanDisk	SDBPNPZ-512G-XI	Western Digital	3523	419884428	Direct Match Corrected supplier
SDAPNUW-256G-1022	SanDisk	SDAPNUW-256G-1022	Western Digital	3523	407688766	Direct Match Corrected supplier
SDBPTPZ-256G-XI	SanDisk	SDBPTPZ-256G-XI	Western Digital	3523	419884436	Direct Match Corrected supplier
SDSDQED-016G-XI	SanDisk	SDSDQED-016G-XI	Western Digital	3523	407781167	Direct Match Corrected supplier
SDSDQED-064G-XI	SanDisk	SDSDQED-064G-XI	Western Digital	3523	407781169	Direct Match Corrected supplier
SDASB8Y-256G	SanDisk	SDASB8Y-256G	Western Digital	3523	407688816	Direct Match Corrected supplier
SDASN8Y-256G	SanDisk	SDASN8Y-256G	Western Digital	3523	407688801	Direct Match Corrected supplier
SDINBDA6-32G-XI1	SanDisk	SDINBDA6-32G-XI1	Western Digital	3523	416344023	Direct Match Corrected supplier
SDINBDA6-64G-I1	SanDisk	SDINBDA6-64G-I1	Western Digital	3523	419743844	Direct Match Corrected supplier
SDINBDA6-128G-I1	SanDisk	SDINBDA6-128G-I1	Western Digital	3523	424609652	Direct Match Corrected supplier
SDINBDA6-128G-ZA	SanDisk	SDINBDA6-128G-ZA	Western Digital	3523	413891984	Direct Match Corrected supplier
SDINBDA6-256G-XA	SanDisk	SDINBDA6-256G-XA	Western Digital	3523	413891985	Direct Match Corrected supplier
SDINBDA6-64G-ZA	SanDisk	SDINBDA6-64G-ZA	Western Digital	3523	413891982	Direct Match Corrected supplier
SDATB8Y-1T00	SanDisk	SDATB8Y-1T00	Western Digital	3523	407688829	Direct Match Corrected supplier
SDATB8Y-512G	SanDisk	SDATB8Y-512G	Western Digital	3523	407688828	Direct Match Corrected supplier
SDATN8Y-256G	SanDisk	SDATN8Y-256G	Western Digital	3523	407688809	Direct Match Corrected supplier
SDBPNPZ-1T00-XI	SanDisk	SDBPNPZ-1T00-XI	Western Digital	3523	419884429	Direct Match Corrected supplier
SDINBDG4-16G-XI2	SanDisk	SDINBDG4-16G-XI2	Western Digital	3523	419774105	Direct Match Corrected supplier
151730	TE Connectivity	151730	Eaton	1169	426101306	Direct Match Corrected supplier
T3DSO3204-PROMO-1	Teledyne LeCroy	T3DSO3204-PROMO-1	Teledyne Technologies	1603	423146626	Direct Match Corrected supplier
UL2AAAA	UltraLast Batteries	UL2AAAA	Dantona Industries	3825	405358148	Direct Match Corrected supplier
GSC-2301A	Global Specialties	GSC-2301A	Cal Test Electronics	7408	425559983	Direct Match Corrected supplier
PB-505A	Global Specialties	PB-505A	Cal Test Electronics	7408	425562619	Direct Match Corrected supplier
GSC-2311A	Global Specialties	GSC-2311A	Cal Test Electronics	7408	425560061	Direct Match Corrected supplier
PH250MGJ	Hammond Power Solutions	PH250MGJ	Hammond Manufacturing	2061	416743441	Direct Match Corrected supplier
MP2510PDGC	"Hitachi Metals, Ltd"	MP2510PDGC	METGLAS	11666	46046338	Direct Match Corrected supplier
MP3210LDGC	"Hitachi Metals, Ltd"	MP3210LDGC	METGLAS	11666	46046343	Direct Match Corrected supplier
MP4010MPFC	"Hitachi Metals, Ltd"	MP4010MPFC	METGLAS	11666	50122615	Direct Match Corrected supplier
MP7254MPFC	"Hitachi Metals, Ltd"	MP7254MPFC	METGLAS	11666	50122625	Direct Match Corrected supplier
MP7350MPFC	"Hitachi Metals, Ltd"	MP7350MPFC	METGLAS	11666	50122628	Direct Match Corrected supplier
MP7715MPFC	"Hitachi Metals, Ltd"	MP7715MPFC	METGLAS	11666	50122632	Direct Match Corrected supplier
MP4510MPFC	"Hitachi Metals, Ltd"	MP4510MPFC	METGLAS	11666	50122616	Direct Match Corrected supplier
MP5812MPFC	"Hitachi Metals, Ltd"	MP5812MPFC	METGLAS	11666	50122618	Direct Match Corrected supplier
MP7089MPFC	"Hitachi Metals, Ltd"	MP7089MPFC	METGLAS	11666	50122620	Direct Match Corrected supplier
MP2310LDGC	"Hitachi Metals, Ltd"	MP2310LDGC	METGLAS	11666	46046334	Direct Match Corrected supplier
MP2310PDGC	"Hitachi Metals, Ltd"	MP2310PDGC	METGLAS	11666	46046335	Direct Match Corrected supplier
MP1710LDGC	"Hitachi Metals, Ltd"	MP1710LDGC	METGLAS	11666	46046328	Direct Match Corrected supplier
MP1710PDGC	"Hitachi Metals, Ltd"	MP1710PDGC	METGLAS	11666	46046329	Direct Match Corrected supplier
MP2010MDGC	"Hitachi Metals, Ltd"	MP2010MDGC	METGLAS	11666	420268609	Direct Match Corrected supplier
MP2610MPFC	"Hitachi Metals, Ltd"	MP2610MPFC	METGLAS	11666	50122610	Direct Match Corrected supplier
MP3310LDGC	"Hitachi Metals, Ltd"	MP3310LDGC	METGLAS	11666	46046309	Direct Match Corrected supplier
MP2616MPFC	"Hitachi Metals, Ltd"	MP2616MPFC	METGLAS	11666	50122611	Direct Match Corrected supplier
MP3510LDGC	"Hitachi Metals, Ltd"	MP3510LDGC	METGLAS	11666	46046348	Direct Match Corrected supplier
MP1603LDGC	"Hitachi Metals, Ltd"	MP1603LDGC	METGLAS	11666	46046324	Direct Match Corrected supplier
MP7109MPFC	"Hitachi Metals, Ltd"	MP7109MPFC	METGLAS	11666	50122621	Direct Match Corrected supplier
MP7120MPFC	"Hitachi Metals, Ltd"	MP7120MPFC	METGLAS	11666	50122622	Direct Match Corrected supplier
MP2010PDGC	"Hitachi Metals, Ltd"	MP2010PDGC	METGLAS	11666	46046332	Direct Match Corrected supplier
MTB1-20SH011-10-FR022	ITT Inc	MTB1-20SH011-10-FR022	C&K	12108	61477117	Direct Match Corrected supplier
MTB1-15SAL57D1-10-FR022	ITT Inc	MTB1-15SAL57D1-10-FR022	C&K	12108	61484128	Direct Match Corrected supplier
MTB1-20PAL57D1-10-FR022	ITT Inc	MTB1-20PAL57D1-10-FR022	C&K	12108	61484272	Direct Match Corrected supplier
W1748LC180	IXYS	W1748LC180	Littelfuse	1388	419822156	Direct Match Corrected supplier
IXYN100N65B3D1	IXYS	IXYN100N65B3D1	Littelfuse	1388	1845251740	Direct Match Corrected supplier
W5334MK200	IXYS	W5334MK200	Littelfuse	1388	419828708	Direct Match Corrected supplier
W2899MC480	IXYS	W2899MC480	Littelfuse	1388	419822165	Direct Match Corrected supplier
W5838ZD220	IXYS	W5838ZD220	Littelfuse	1388	419822172	Direct Match Corrected supplier
W1524LC240	IXYS	W1524LC240	Littelfuse	1388	419822154	Direct Match Corrected supplier
W3409NK240	IXYS	W3409NK240	Littelfuse	1388	419828704	Direct Match Corrected supplier
W5636MC150	IXYS	W5636MC150	Littelfuse	1388	419822170	Direct Match Corrected supplier
W8570TE220	IXYS	W8570TE220	Littelfuse	1388	419822176	Direct Match Corrected supplier
W108CED220	IXYS	W108CED220	Littelfuse	1388	419822149	Direct Match Corrected supplier
W1360LG300	IXYS	W1360LG300	Littelfuse	1388	419822151	Direct Match Corrected supplier
G2000HF450	IXYS	G2000HF450	Littelfuse	1388	1845251911	Direct Match Corrected supplier
E0770HF65F	IXYS	E0770HF65F	Littelfuse	1388	424196882	Direct Match Corrected supplier
K1670HA650	IXYS	K1670HA650	Littelfuse	1388	422043414	Direct Match Corrected supplier
IXTT220N20X4HV	IXYS	IXTT220N20X4HV	Littelfuse	1388	424193630	Direct Match Corrected supplier
M0759YC160	IXYS	M0759YC160	Littelfuse	1388	1845251727	Direct Match Corrected supplier
M1609NC200	IXYS	M1609NC200	Littelfuse	1388	1845251769	Direct Match Corrected supplier
N3229QK040	IXYS	N3229QK040	Littelfuse	1388	1845251737	Direct Match Corrected supplier
N1718NC200	IXYS	N1718NC200	Littelfuse	1388	1845251691	Direct Match Corrected supplier
IRF830PBF	Infineon Technologies AG	IRF830PBF	Vishay	1645	30426193	Direct Match Corrected supplier
ICM-40627	InvenSense	ICM-40627	TDK	1600	418024515	Direct Match Corrected supplier
B-01-AT1F	KEMET Corporation	B-01-AT1F	TOKIN Corporation	2263	35195972	Direct Match Corrected supplier
B-06-R-50	KEMET Corporation	B-06-R-50	TOKIN Corporation	2263	27091471	Direct Match Corrected supplier
B-6-22B	KEMET Corporation	B-6-22B	TOKIN Corporation	2263	35186407	Direct Match Corrected supplier
GF-220U	KEMET Corporation	GF-220U	TOKIN Corporation	2263	41261800	Direct Match Corrected supplier
GT-2100	KEMET Corporation	GT-2100	TOKIN Corporation	2263	27094559	Direct Match Corrected supplier
GT-2150	KEMET Corporation	GT-2150	TOKIN Corporation	2263	27094560	Direct Match Corrected supplier
GL-2150C-10	KEMET Corporation	GL-2150C-10	TOKIN Corporation	2263	87148137	Direct Match Corrected supplier
GT-215U	KEMET Corporation	GT-215U	TOKIN Corporation	2263	27094564	Direct Match Corrected supplier
LF-240	KEMET Corporation	LF-240	TOKIN Corporation	2263	42622139	Direct Match Corrected supplier
GT-220U	KEMET Corporation	GT-220U	TOKIN Corporation	2263	27094565	Direct Match Corrected supplier
SNT-D10T	KEMET Corporation	SNT-D10T	TOKIN Corporation	2263	27114799	Direct Match Corrected supplier
SNT-S20TF	KEMET Corporation	SNT-S20TF	TOKIN Corporation	2263	27114801	Direct Match Corrected supplier
SNT-D10TF	KEMET Corporation	SNT-D10TF	TOKIN Corporation	2263	27114809	Direct Match Corrected supplier
GT-21001V	KEMET Corporation	GT-21001V	TOKIN Corporation	2263	35209804	Direct Match Corrected supplier
SBP-5001T	KEMET Corporation	SBP-5001T	TOKIN Corporation	2263	28109213	Direct Match Corrected supplier
SBT-0260	KEMET Corporation	SBT-0260	TOKIN Corporation	2263	35195959	Direct Match Corrected supplier
