MPN	SE_NAME	COM_ID	Scrubbing_Status	COM_PARTNUM	se_manname
Y16071R50000D9W	Alpha Electronics	43251184	Y16071R50000D9W	Vishay Precision Group	23561	Direct Match Corrected supplier
Y16071R50000D9W	Alpha Electronics	31107998	Y16071R50000D9W	Vishay	1645	Need Scrubbing
MP402R0L	Alpha Electronics	416249359	MP402R0L	Vishay Precision Group	23561	Direct Match Corrected supplier
MP3K010L	Alpha Electronics	416249370	MP3K010L	Vishay Precision Group	23561	Direct Match Corrected supplier
MP2K940L	Alpha Electronics	416249366	MP2K940L	Vishay Precision Group	23561	Direct Match Corrected supplier
TSM23Q-2RG	Applied Motion Products	419350912	TSM23Q-2RG	MOONS INDUSTRIES	42082	Direct Match Corrected supplier
UCT-LH	Belden	37942108	UCT-LH	"ABB Installation Products, Inc"	3165	Direct Match Corrected supplier
UCT-LH	Belden	37942108	UCT-LH	ABB Installation Products, Inc	3165	Direct Match Corrected supplier
DT-04-18-0-C	Belden	1846531599	DT-04-18-0-C	"PPC Broadband, Inc"	40808	Direct Match Corrected supplier
311P407-2P-B-12	C&K	48720181	311P407-2P-B-12	TE Connectivity	1629	Need Scrubbing
311P407-2P-B-12	C&K	406270074	311P407-2P-B-12	ITT Inc	1351	Direct Match Corrected supplier
311P407-1S-B-12	C&K	405518121	311P407-1S-B-12	ITT Inc	1351	Direct Match Corrected supplier
311P407-1S-B-12	C&K	25593282	311P407-1S-B-12	TE Connectivity	1629	Need Scrubbing
430P684X9400	Cornell Dubilier Electronics	26335619	430P684X9400	Vishay	1645	Direct Match Corrected supplier
S-B-10AS	Desco Industries	414020691	S-B-10AS	EasyBraid	4038	Direct Match Corrected supplier
LF-B-5AS	Desco Industries	422646613	LF-B-5AS	EasyBraid	4038	Direct Match Corrected supplier
GV1G10	Eaton	37834678	GV1G10	Schneider Electric	1545	Direct Match Corrected supplier
GSK-805	Global Specialties	419777749	GSK-805	Cal Test Electronics	7408	Direct Match Corrected supplier
GRDBARV14	Hammond Power Solutions	53428343	GRDBARV14	Hammond Manufacturing	2061	Direct Match Corrected supplier
MP1205MPFC	"Hitachi Metals, Ltd"	50122603	MP1205MPFC	METGLAS	11666	Direct Match Corrected supplier
MP3210P4AF	"Hitachi Metals, Ltd"	69170475	MP3210P4AF	METGLAS	11666	Direct Match Corrected supplier
MP7548MPFC	"Hitachi Metals, Ltd"	50122630	MP7548MPFC	METGLAS	11666	Direct Match Corrected supplier
MP7050MPFC	"Hitachi Metals, Ltd"	50122619	MP7050MPFC	METGLAS	11666	Direct Match Corrected supplier
MP2010MPFC	"Hitachi Metals, Ltd"	50122607	MP2010MPFC	METGLAS	11666	Direct Match Corrected supplier
MP1306MPFC	"Hitachi Metals, Ltd"	50122604	MP1306MPFC	METGLAS	11666	Direct Match Corrected supplier
FT-3KM F6045G	"Hitachi Metals, Ltd"	416738925	FT-3KM F6045G	METGLAS	11666	Direct Match Corrected supplier
CCM03-3001LFT R102	ITT Inc	101063751	CCM03-3001LFT R102	C&K	12108	Direct Match Corrected supplier
LF2190NTR	IXYS	1845755133	LF2190NTR	Littelfuse	1388	Direct Match Corrected supplier
W0944WC150	IXYS	419822147	W0944WC150	Littelfuse	1388	Direct Match Corrected supplier
S802CS1RP	IXYS	1845344474	S802CS1RP	Littelfuse	1388	Direct Match Corrected supplier
IX4351NETR	IXYS	415536461	IX4351NETR	Littelfuse	1388	Direct Match Corrected supplier
B-01-RTS	KEMET Corporation	27091478	B-01-RTS	TOKIN Corporation	2263	Direct Match Corrected supplier
B-03-R	KEMET Corporation	27091481	B-03-R	TOKIN Corporation	2263	Direct Match Corrected supplier
RG-208F	KEMET Corporation	42242963	RG-208F	TOKIN Corporation	2263	Direct Match Corrected supplier
VU-215F	KEMET Corporation	42242967	VU-215F	TOKIN Corporation	2263	Direct Match Corrected supplier
VU-220F	KEMET Corporation	42242568	VU-220F	TOKIN Corporation	2263	Direct Match Corrected supplier
SU16VD-30050	KEMET Corporation	42049763	SU16VD-30050	TOKIN Corporation	2263	Direct Match Corrected supplier
SNG-19A-080	KEMET Corporation	27114907	SNG-19A-080	TOKIN Corporation	2263	Direct Match Corrected supplier
SNG-19DB-014	KEMET Corporation	27114910	SNG-19DB-014	TOKIN Corporation	2263	Direct Match Corrected supplier
SNG-25DB-086	KEMET Corporation	27114906	SNG-25DB-086	TOKIN Corporation	2263	Direct Match Corrected supplier
GL-2030ET	KEMET Corporation	48493524	GL-2030ET	TOKIN Corporation	2263	Direct Match Corrected supplier
GL-2060H2	KEMET Corporation	48126721	GL-2060H2	TOKIN Corporation	2263	Direct Match Corrected supplier
GL-2080C4	KEMET Corporation	41104007	GL-2080C4	TOKIN Corporation	2263	Direct Match Corrected supplier
GF-210U	KEMET Corporation	41261797	GF-210U	TOKIN Corporation	2263	Direct Match Corrected supplier
GT-21001	KEMET Corporation	35209797	GT-21001	TOKIN Corporation	2263	Direct Match Corrected supplier
GT-2200	KEMET Corporation	27094561	GT-2200	TOKIN Corporation	2263	Direct Match Corrected supplier
LF-215N	KEMET Corporation	42622225	LF-215N	TOKIN Corporation	2263	Direct Match Corrected supplier
LF-305	KEMET Corporation	35209896	LF-305	TOKIN Corporation	2263	Direct Match Corrected supplier
MA-2043	KEMET Corporation	51594540	MA-2043	TOKIN Corporation	2263	Direct Match Corrected supplier
MPCH1040LR68	KEMET Corporation	404126243	MPCH1040LR68	TOKIN Corporation	2263	Direct Match Corrected supplier
SNT-S10	KEMET Corporation	32919098	SNT-S10	TOKIN Corporation	2263	Direct Match Corrected supplier
SBT-0208	KEMET Corporation	35195957	SBT-0208	TOKIN Corporation	2263	Direct Match Corrected supplier
SBT-0240	KEMET Corporation	35195958	SBT-0240	TOKIN Corporation	2263	Direct Match Corrected supplier
ST-101A	KEMET Corporation	35192434	ST-101A	TOKIN Corporation	2263	Direct Match Corrected supplier
ST-201A	KEMET Corporation	35192443	ST-201A	TOKIN Corporation	2263	Direct Match Corrected supplier
ST-202A	KEMET Corporation	35192445	ST-202A	TOKIN Corporation	2263	Direct Match Corrected supplier
ST-204A3	KEMET Corporation	35192448	ST-204A3	TOKIN Corporation	2263	Direct Match Corrected supplier
